Date,Time24Hour,Meeting,Horse,Jockey,Trainer,ValueOdds,RaceType,Handicap,RaceClass,Going,Gender,StallNumber,StallPercentage,DaysSinceLastRun,NumberOfResults,GoingRegression,DistanceRegression,Age,Weight_Pounds,TotalWins,CourseWins,WeightDelta,RawRating,JockeyRating,TrainerRating,TrainerForm,ConnectionsRating,FormTrend,FormLastRun,Class,WinningForm,Speed,ClassPosition,WinClassProbability,WinClassProbability_Normalised,ValueOdds_Probability,ForecastSP,ChaseJumpingAbility,RatingsPosition,ElapsedDays,TJCWins,TJCPL,TJCSR,TJCROI,TJCTypePL,TJCTypeSR,TJCTypeROI,Runners,TCWins,TCPL,TCSR,TCROI,JCWins,JCPL,JCSR,JCROI,TJWins,TJPL,TJSR,TJROI,TRF20RunsWins,TRF20RunsPL,TRF20RunsSR,TRF20RunsROI,TRF20RunsDays,TRF02WeeksPL,TRF02WeeksSR,TRF02WeeksROI,TRF04WeeksPL,TRF04WeeksSR,TRF04WeeksROI,RawRanking,RAdjRanking,JockeyRanking,TrainerRanking,TrFormRanking,ConnRanking,FrmRanking,LstRanking,ClsRanking,WinFRanking,SpdRanking,HCPRanking,TrainerCalendarPL,TrainerCalendarSR,TrainerCalendarROI,Trainer5YearSR,Trainer5YearROI,ClassDiffRuns,ClassDiffAverage,ClassDiffDifference,ClassDiffWinsAverage,ClassDiffWinsDifference,WeightDiffAverage,WeightDiffDifference,WeightDiffWinsAverage,WeightDiffWinsDifference,ClassWeightDiffAverage,ClassWeightDiffDifference,ClassWeightDiffWinsAverage,ClassWeightDiffWinsDifference,UKHR_TrainerID,UKHR_JockeyID,UKHR_CourseID,LastTimeDistanceChange,LastTimeTrainerChange,LastTimeJockeyChange,ClassDiffRuns1Year,ClassDiffWinsRuns1Year,ClassDiffWinsDifference1Year,WeightDiffWinsDifference1Year,ClassWeightDiffDifference1Year,ClassWeightDiffWinsDifference1Year,Race5RunsAgo,Race4RunsAgo,Race3RunsAgo,Race2RunsAgo,Race1RunAgo,Sire_All_Run,Sire_All_SR,Sire_All_ROI,Sire_All_AE,Dam_All_Run,Dam_All_SR,Dam_All_ROI,Dam_All_AE,Sire_RaceType_SR,Sire_RaceType_ROI,Sire_RaceType_AE,Dam_RaceType_SR,Dam_RaceType_ROI,Dam_RaceType_AE,Sire_Going_SR,Sire_Going_ROI,Sire_Going_AE,Dam_Going_SR,Dam_Going_ROI,Dam_Going_AE,Sire_Distance_SR,Sire_Distance_ROI,Sire_Distance_AE,Dam_Distance_PL,Dam_Distance_SR,Dam_Distance_ROI,Dam_Distance_AE,Sire_GoingDistance_PL,Sire_GoingDistance_SR,Sire_GoingDistance_ROI,Sire_GoingDistance_AE,Dam_GoingDistance_Run,Dam_Going_Distance_SR,Dam_GoingDistance_ROI,Dam_GoingDistance_AE,Sire_DistanceRange_ROI,Sire_DistanceRange_AE,Dam_DistanceRange_PL,Dam_DistanceRange_SR,Dam_DistanceRange_ROI,Dam_DistanceRange_AE,Sire_RaceClass_ROI,Sire_RaceClass_AE,Dam_RaceClass_ROI,Dam_RaceClass_AE,Sire_Age_Run,Sire_Age_SR,Sire_Age_ROI,Sire_Age_AE,Dam_Age_Run,Dam_Age_SR,Dam_Age_ROI,Dam_Age_AE,Sire_AdjacentGoing_ROI,Sire_AdjacentGoing_AE,Dam_AdjacentGoing_ROI,Dam_AdjacentGoing_AE,UKHR_SireID,UKHR_DamID,KouldsScore_Distance_Sire,KouldsScore_Distance_Dam,KouldsScore_GoingBand_Sire,KouldsScore_GoingBand_Dam,KouldsScore_Total,Trainer7DaysPL,Trainer7DaysSR,Trainer7DaysROI,LengthsWonLostLastRun,LengthsWonLost2RunsAgo,LengthsWonLost3RunsAgo,LengthsWonLost4RunsAgo,LengthsWonLost5RunsAgo,RacesSincePreviousTrainerWin,DaysSincePreviousTrainerWin,TrainerLast10RunsSR,TrainerLast10RunsROI,TrainerLast40RunsSR,TrainerLast40RunsROI,DifferentialRankingClass5Years,DifferentialRankingWeight5Years,DifferentialRankingClassWeight5Years,DifferentialRankingClass5YearsWins,DifferentialRankingWeight5YearsWins,DifferentialRankingClassWeight5YearsWins,DifferentialRankingClass1Year,DifferentialRankingWeight1Year,DifferentialRankingClassWeight1Year,DifferentialRankingClass1YearWins,DifferentialRankingWeight1YearWins,DifferentialRankingClassWeight1YearWins,SpeedRatingRank,LastClassDropRank,RatingAdvantage,PlacePositions,Raw Advantage,RAdj Advantage,JockeyAdvantage,TrainerAdvantage,TrFormAdvantage,ConnAdvantage,FrmAdvantage,LstAdvantage,ClsAdvantage,WinFAdvantage,SpdAdvantage,HCPAdvantage,FCPAdvantage,SpeedAdvantage,JumpAdvantage,BetterClassWin,BetterClassWinDaysAgo,BetterClassWinRacesAgo,BetterClassWeightWin,BetterClassWeightWinDaysAgo,BetterClassWinTypeDaysAgo,BetterClassWinTypeRacesAgo,BHAclassToday,BHAclassLast,PositionLastTime,Position2RunsAgo,Position3RunsAgo,Position4RunsAgo,Position5RunsAgo,DistanceLastTime,GoingLastTime,Going2RunsAgo,Going3RunsAgo,Going4RunsAgo,Going5RunsAgo,DistanceRuns,DistanceWins,GoingRuns,GoingWins,WRITE_IN_RESULT_HERE,WRITE_BETFAIR_SP_HERE,WRITE_BETFAIR_PLACED,WRITE_BETFAIR_PLACE_SP_HERE
10/4/2022,13:00,Wincanton,Sword Beach,SGT NATHAN RAHMAN ,Alan King ,   2/1,Hurdle,Handicap,109.9027557,GOOD,g,,,20,29,0,0,5,145,1,0,-10,108.9000015,0,112.52,115,-0.3,2.11,4.69,-3.94,-16.08,17.62,3,5,9,0.332780719, 13/8,0,1,19092,0,0,0,0,0,0,0,6,10,-54.26666803,10.52631579,-57.12280845,0,0,0,0,0,0,0,0,1,-19.6,5,-98,10,-18.3,12,-55,-10.6,19,-15,4,1,999,4,1,999,2,1,999,999,1,5,-17.3,10.8,-14.4,13.5,-28.4,4,108.125,-1.7778,96,-13.9028,159.5,14.5,166,21,267.625,12.7222,262,7.0972,408,17327,26,4,0,107.7,4,1,-13.9028,21,12.7222,7.0972,-103.5,106.8000031,102.0999985,104.9000015,110.5999985,758,8.707124011,-15.04041729,0.867658728,32,12.5,-22.65625184,0.822094436,3.846153846,-89.42307724,0.811954028,25,-31.25000205,1.434782581,8,-26.8333344,0.867590306,12.5,-65.62500102,1.042787827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.79706588,0.892960274,-56.52173978,0.554461302,31,9.677419355,-54.03225945,1.111274369,3,33.33333333,-8.333336065,1.706896515,3.051640679,0.921585229,-77.08333402,0.678022663,353275,357934,0,0,2,0,2,-5.6,17,-93,-1,23,36,19,,6,4,10,-95.6,12.5,-48.275,4,1,1,6,1,1,4,1,1,6,1,1,2,6,10.47392273,2,-12.5,1.527069092,0,-9.905509949,1.659619808,-9.905509621,-1.216397047,1.718338013,-7.92124939,-16.07683563,18.68024468,-11.14202775,-17.34899655,-4.904903487,0,7.497244263,234,7,7.097244263,20,20,1,4,5,1,4,5,5,5,16,good,good,soft,good,gd-sft,0,0,7,1,, , , 
10/4/2022,13:00,Wincanton,Alrightjack,Lt Will Kellard ,J E Snowden ,   9/2,Hurdle,Handicap,109.9027557,GOOD,g,,,33,24,1,1,8,159,2,0,4,121.4000015,0,105.11,92,-7.71,-2.27,-5.7,0.91,-4.22,-5.52,3,12,20,0.178820655, 7/1,0,2,19092,0,0,0,0,0,0,0,6,4,-17.30000034,11.42857143,-49.4285724,0,0,0,0,0,-3,0,0,3,-11.8,15,-59,24,-4.3,13,-53,-13.8,14,-63,1,2,999,6,3,999,999,999,3,999,999,3,-2.7,13,-4.9,16.5,-24.4,16,110.6813,0.7785,108.95,-0.9528,158.875,-0.125,160,1,269.5563,0.6535,268.95,0.0472,9763,14634,26,4,0,0,7,1,-2.7028,5,1.9115,2.2972,123,116.3000031,110.0999985,114.5999985,115.9000015,6391,11.34407761,-37.63720579,0.809744482,103,21.3592233,21.14450863,1.186658779,10.71115013,-45.03714016,0.810941158,20,-13.17482681,1.033257087,11.14583333,-41.37399509,0.754991461,29.41176471,60.37895652,1.323670207,10.59085842,-46.31098985,0.792987882,18.99999947,18.75,118.7499967,1.441997759,-125.0863675,10.98039216,-49.05347743,0.778208142,7,28.57142857,328.571422,1.660063735,-38.56776146,0.797044597,37.74999874,23.07692308,72.59615143,1.401910785,-30.9719219,0.939005333,37.56756466,1.580076672,733,9.004092769,-41.15393527,0.73185443,8,25,-2.05E-06,1.52240364,-38.86127024,0.791895073,19.34885108,1.14260039,1570,279271,0,2,0,2,14,-1.3,20,-25,16.5,24.25,20.75,14.2,-9.5,1,2,10,-62.5,12.5,-54.575,2,4,3,3,2,2,3,4,3,3,2,2,1,2,-10.47392273,2,1.900001526,-1.527069092,0,-17.31694031,-23.03625345,-17.31693983,-5.596735954,-10.39585876,-3.073760986,-4.221031189,-23.14578247,-4.039555788,-6.289899349,4.904903487,0,0.797244263,1147,20,2.297244263,156,1147,15,4,4,3,6,9,8,1,16,soft,soft,gd-sft,gd-sft,good,3,0,7,2, , , , 
10/4/2022,13:00,Wincanton,Birds Of Prey,LBDR JODY SOLE ,P F Nicholls ,   6/1,Hurdle,Handicap,109.9027557,GOOD,g,,,20,25,0,0,8,160,2,0,5,109.3000031,0,122.43,79,9.61,0,1.96,3.99,0,-12.08,6,9,16,0.13857998, 4/1,0,3,19092,0,0,0,0,0,0,0,6,84,-42.78039114,27.36156352,-13.93498083,0,0,0,0,0,0,0,0,4,5.1,20,26,7,-8.8,15,-19,-40,13,-45,3,5,999,1,4,1,999,3,1,999,999,4,-40.7,26.2,-20.9,22.5,-17,12,116.0167,6.1139,114.35,4.4472,154.4167,-5.5833,155.5,-4.5,270.4333,0.5306,269.85,-0.0528,49,17330,26,0,0,119.2,4,0,0,0,-0.3278,0,-133.8000031,111.8000031,109.0999985,96.80000305,105.5,2770,11.01083032,-10.22840828,0.944739513,70,17.14285714,4.703792596,1.249113657,5.785123967,-63.32688054,0.598691345,16.66666667,-63.62179605,0.634330707,9.961685824,-15.47080151,0.861566041,13.33333333,18.33332757,1.042525639,14.28571429,142.857142,3.096646816,-1,0,0,0,-3,0,0,0,1,0,0,0,-1.547844518,1.232101692,-3.634615526,25,-45.43269407,0.874583563,-19.88704315,0.932156908,2.718246652,1.24247305,6,0,0,0,3,0,0,0,-18.23760392,0.87235863,-5.434786366,0.860716723,305745,278558,2,0,0,0,5,5.1,20,26,11.7,8.75,36.75,49.5,2.5,1,2,30,76,12.5,-22.25,1,5,4,1,6,4,1,6,4,1,4,3,3,3,-12.38618469,2,-12.09999847,-14.66678619,0,8.791481018,-35.41385531,8.79148072,-3.324501038,-2.731567383,2.081245422,0,-29.70392609,-6.807097048,-10.5991751,-8.062745562,0,7.097244263,760,5,2.697244263,777,1102,8,4,3,4,5,7,8,1,20,good,gd-sft,soft,soft,std-slow,1,0,6,1, , , , 
10/4/2022,13:00,Wincanton,Langley Hundred,Capt Charlie O`shea ,P J Hobbs ,  13/2,Hurdle,Handicap,109.9027557,GOOD,g,,,38,4,0,0,5,150,0,0,-5,107.5,0,113.35,74,0.52,-1.03,-3.44,1.9,0,-5.53,5,0,1,0.131190896, 5/1,0,4,19092,0,0,0,0,0,0,0,6,24,-44.00000256,12.30769231,-22.56410388,2,24.00000158,40,480.0000316,2,2.000001911,66.66666667,66.66673035,1,-16.5,5,-83,11,-20.5,4,-85,-38.7,8,-74,5,4,999,3,5,3,999,999,2,999,999,999,-77.5,9.8,-58.7,15.5,-24,3,109.8,-0.1028,0,0,155.3333,5.3333,0,0,265.1333,5.2306,0,0,57,13560,26,1,0,103.9,3,0,0,0,5.2306,0,0,-101.1999969,109.4000015,93.19999695,100.3000031,1775,13.01408451,-29.36370917,0.883500498,4,0,0,0,11.43695015,-29.45050796,0.857317765,0,0,0,11.06796117,-38.66046876,0.71990265,0,0,0,13.55140187,-46.78632218,0.807370969,0,0,0,0,-18.06439469,15.71428571,-25.80627813,0.941537774,0,0,0,0,-17.66952229,0.955141145,-1,0,0,0,-46.97880728,0.762797204,0,0,560,11.96428571,-37.39718737,0.864108825,2,0,0,0,-32.53868355,0.84769733,0,0,162321,403949,0,0,0,0,0,-1.5,20,-30,29.25,12,15.85,,,4,3,10,-65,7.5,-71.675,3,2,2,2,3,3,2,2,2,1,4,3,4,1,-12.63618469,2,-13.90000153,-6.438911438,0,-9.084945679,-40.64611793,-9.084945381,-4.357447147,-8.136833191,-2.081245422,0,-23.15405273,-16.20778888,-25.23677824,-11.49607737,0,0,0,0,0,0,0,0,4,4,4,5,6,7,1,19,soft,heavy,gd-sft,soft,,0,0,0,0, , , , 
10/4/2022,13:00,Wincanton,Hunting Percival,SGT NICK OLIVER ,T Lacey ,  15/2,Hurdle,Handicap,109.9027557,GOOD,g,,,103,10,0,0,7,159,2,0,4,119.5,0,113.64,113,0.82,-4.63,-17.76,-3.81,-3.78,-1.06,4,15,25,0.12058387, 14/1,0,5,19092,0,0,0,0,0,0,0,6,4,-4.500000352,20,-22.50000176,0,0,0,0,0,0,0,0,4,-1.5,20,-8,20,-1.3,19,-8,-2.9,26,-9,2,3,999,2,2,2,999,999,999,999,999,2,11.4,21.4,27.2,18.3,-8,8,104.1,-5.8028,104.7,-5.2028,161.75,2.75,158.5,-0.5,265.85,-3.0528,263.2,-5.7028,13418,17329,26,0.5,-0.1,0,4,1,-8.5028,4,-3.3278,-4.5028,116.1999969,119.0999985,120.5999985,104.3000031,87.59999847,5593,11.42499553,-24.16400021,0.878710151,56,10.71428571,-12.94642974,0.919682817,12.26295828,-25.41341905,0.942905688,10,-23.33333443,0.751697377,10.9375,-20.06340478,0.859265478,16.66666667,61.11111076,1.343575328,10.75268817,-50.80645246,0.840757162,1,14.28571429,14.28571429,1.336157969,-25.50000003,7.5,-63.75000008,0.707969396,3,33.33333333,166.6666667,2.159383023,-32.85898452,0.901705853,-8.000000507,9.090909091,-24.24242578,0.74620364,-28.97220266,0.861777257,-52.38095323,0.94276325,229,11.35371179,-13.28238912,0.858809287,8,0,0,0,-30.19868117,0.80719474,29.62962873,1.406088307,8597,236866,0,1,0,1,4,1.5,14,21,52.45,39.5,-0.5,5.5,3.7,1,3,20,15,30,15.5,6,3,5,4,4,5,5,3,5,4,3,3,6,4,-12.88618469,2,-1.900001526,-3.46938324,0,-8.791481018,-1.659619808,-8.79148072,-7.953820229,-22.45807648,-7.799972534,-3.783630371,-18.68024468,-0.827375054,-1.288285851,-16.90490334,0,-1.902755737,626,8,-4.502755737,287,626,7,4,4,10,6,1,2,3,19.5,soft,good,good,gd-fm,good,2,1,5,2, , , , 
10/4/2022,13:00,Wincanton,Merry Berry,Mrs V Sollitt ,Fergal O`Brien ,   9/1,Hurdle,Handicap,109.9027557,GOOD,m,,,286,9,1,0,6,158,2,0,3,99.5,0,109.88,72,-2.94,3.32,2.98,-5.49,-9.17,-6.53,5,16,26,0.098043881, 4/1,0,6,19092,0,0,0,0,0,0,0,6,5,-42.07272772,8.620689655,-72.53918572,0,0,0,0,0,0,0,0,0,-20,0,0,8,-20.5,10,-71,-42.5,10,-59,6,6,999,5,6,999,1,2,999,999,999,1,-27.8,13.9,-35.2,16.7,-15.8,6,105.65,-4.2528,101,-8.9028,151.5,-6.5,155,-3,257.15,-10.7528,256,-11.9028,1915,13509,26,-0.5,0,112.5,3,2,-8.9028,-3,-12.6028,-11.9028,83.59999847,86.40000153,99.90000153,102.3000031,98.69999695,1416,14.40677966,-9.685760587,0.997488895,22,9.090909091,-79.95867833,0.744675063,13.3640553,-18.07409578,0.953190006,13.33333333,-70.60606154,1.064108255,13.64605544,-12.96919625,0.901897994,14.28571429,-72.72727421,0.970737685,15.59633028,-1.583052619,1.175313757,-1,0,0,0,-10.78461555,14.28571429,-38.51648411,0.933756816,0,0,0,0,-11.01603601,1.045453964,-8.590909232,15.38461538,-66.08391717,1.070810952,-12.35044817,0.936387399,0,0,359,17.82729805,5.850066933,1.065885164,3,0,0,0,-10.73691266,0.944554841,-82.64462904,0.667600393,207465,365955,0,0,0,0,2,-14,0,0,-55,-14,0.2,11.75,54.25,22,9,0,0,10,-73.675,5,6,6,5,5,6,6,5,6,5,6,4,5,5,-24.87771606,2,-21.90000153,-22.40267944,0,-12.54935455,-43.01272631,-12.54935431,1.216397047,-1.718338013,-9.474014282,-9.169975281,-24.14958191,0.827375054,1.288285851,-12.49215885,0,-8.402755737,286,1,-11.40275574,314,286,1,4,4,1,1,2,5,10,20.5,good,gd-fm,gd-fm,soft,soft,0,0,2,1, , , , 
10/4/2022,13:20,Curragh,Meditate,Mr R L Moore ,A P O`Brien ,   5/2,Flat,,109.1610641,YIELD,f,3,5.18%,0,0,0,0,2,128,0,0,0,120.4000015,113.49,123.93,97,10.74,0,0,0,0,0,0,0,11,0.277221948, 7/4,0,1,19092,62,-17.21845301,28.7037037,-7.971506023,-8.218456482,31.1827957,-4.41852499,9,145,-180.2209446,18.03482587,-22.41554037,63,-30.71845217,26.80851064,-13.07168178,217,-235.8770763,22.14285714,-24.06908942,5,-4.4,25,-22,8,-10,30,-33,-11.2,30,-34,1,1,1,1,7,1,999,999,999,999,999,999,-69.2,18.2,-44.9,17.8,-20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,672,2719,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,12.3650108,-25.7822692,0.906290454,11,9.090909091,36.36362925,1.572668868,13.44262295,-24.81085053,0.969727317,16.66666667,149.999987,2.768894574,13.69863014,-24.04109724,1.014494187,0,0,0,15.96638655,-28.96245844,0.908381015,0,0,0,0,-3.125000054,16.66666667,-52.08333423,0.879067015,0,0,0,0,-10.80529458,0.984515933,0,0,0,0,-23.96907385,0.910756244,0,0,672,16.51785714,-10.71509895,1.022484077,3,0,0,0,-27.46505816,0.94841551,0,0,337102,330598,0,0,0,0,3,1.6,36,11,,,,,,1,2,40,18.5,25,-45.525,1,1,1,1,1,1,1,1,1,1,1,1,2,0,9.034172058,3,4.599998474,4.572799683,2.274688721,6.144561768,-32.29480386,4.209625244,0,0,0,0,-1.50E-06,0,0,-81.71470709,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,0,0,0,0, , , , 
10/4/2022,13:20,Curragh,Remind,DYLAN BROWNE MCMONAGLE ,Joseph Patrick O`Brien ,   6/1,Flat,,109.1610641,YIELD,f,4,1.55%,0,0,0,0,2,128,0,0,0,115.8000031,111.21,117.79,110,6.53,0,0,0,0,0,0,0,11,0.145692348, 5/1,0,2,19092,4,-4.99999651,13.33333333,-16.66665503,-0.499998346,16.66666667,-4.166652887,9,64,-195.0940553,11.36767318,-34.65258531,8,-19.4999937,10.81081081,-26.35134284,46,61.38337235,20,26.68842276,3,-13.3,15,-66,8,-14.5,19,-56,-13.5,18,-31,2,2,2,2,2,2,999,999,999,999,999,999,-27.3,11.7,-14.5,13.5,-24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,15787,16297,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410033,410233,0,0,0,0,0,-8.9,15,-68,,,,,,4,2,20,-59,20,-23.85,1,1,1,1,1,1,1,1,1,1,1,1,2,0,-9.034172058,3,-4.599998474,-4.572799683,-2.274688721,-6.144561768,-18.82485151,-4.209625244,0,0,0,0,-1.50E-06,0,0,-81.71470709,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,0,0,0,0, , , , 
10/4/2022,13:20,Curragh,Drunk In Love,L F Roche ,M D O`Callaghan ,   7/1,Flat,,109.1610641,YIELD,f,8,-11.23%,-9,1,0,0,2,128,0,0,0,106.5999985,102.67,110.46,109,-1.4,0,0,0,0,0,0,0,11,0.12594144, 4/1,0,3,19092,7,-21.63460991,8.860759494,-27.38558216,-11.13461052,9.836065574,-18.25345987,9,8,-69.88461699,6.153846154,-53.75739769,14,-47.13460528,6.194690265,-20.85602003,47,-21.67624204,10.82949309,-4.994525815,2,-8.5,10,-43,163,-1.5,20,-30,5.5,33,92,6,6,7,4,3,999,999,999,999,999,999,999,-8,5.6,-44.4,8.8,-32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,12866,11166,54,0,0,0,0,0,0,0,0,0,0,0,0,0,-98.09999847,1377,8.061002179,-34.3154718,0.801010117,53,13.20754717,-22.51814296,1.076564105,8.680555556,-27.41536334,0.870351668,14.70588235,-43.92534009,1.16664442,6.060606061,-45.45454591,0.847389151,0,0,0,11.76470588,-26.83711648,0.941869303,1.865384361,25,9.326921803,1.42357586,-2,10,-20,0.852069086,0,0,0,0,-25.44169301,0.861804531,-4.934615768,15.2173913,-10.72742558,1.191045665,-33.0337174,0.859222159,17.32966923,1.410463261,482,9.958506224,-36.05977716,0.859637913,23,21.73913043,-17.10702448,1.325942735,-13.06329005,0.940310403,-32.38095269,1.337044336,336255,274109,0,2,0,0,3,1.5,50,75,,,,,,2,7,20,15,15,-2.5,1,1,1,1,1,1,1,1,1,1,1,1,2,0,-10.77138519,3,-13.80000305,-13.78782654,-10.81697083,-13.47792816,-19.97783184,-12.14744592,0,0,0,0,-1.50E-06,0,0,-81.71470709,0,0,0,0,0,0,0,0,,,4,,,,,5,stand,,,,,1,0,0,0, , , , 
10/4/2022,13:20,Curragh,Slick Chick,S Foley ,Ms J Harrington ,   8/1,Flat,,109.1610641,YIELD,f,5,-1.91%,0,0,0,0,2,128,0,0,0,109.1999969,106.3,110.15,108,0.26,0,0,0,0,0,0,0,11,0.107633263, 5/1,0,4,19092,29,-73.09164187,12.08333333,-30.45485078,-34.09164376,15.20467836,-19.93663378,9,51,-96.09167436,11.03896104,-20.79906372,50,-50.86435326,11.26126126,-11.45593542,200,-402.5983456,13.44989913,-27.07453568,0,-20,0,0,8,-29.9,8,-75,-39.4,8,-67,4,4,5,5,4,4,999,999,999,999,999,999,-55.4,10.1,-34.8,11.1,-26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,114,8907,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,13.22160149,-0.26677615,1.059098204,6,16.66666667,-16.66666791,1.123979278,13.95348837,7.001658726,1.106435685,0,0,0,17.64705882,111.7646993,2.333073599,0,0,0,10.81081081,-22.99345001,0.785583097,0,0,0,0,-2,0,0,0,0,0,0,0,-11.98907938,1.123021959,-1,0,0,0,-10.40093147,0.985271691,66.66666418,1.621621601,196,12.24489796,-22.24451383,1.024784815,6,16.66666667,-16.66666791,1.123979278,6.48836912,1.125595111,0,0,377847,396917,0,0,2,0,7,-17,0,0,,,,,,25,9,0,0,7.5,-74.7,1,1,1,1,1,1,1,1,1,1,1,1,2,0,-12.56880951,3,-11.20000458,-11.19285583,-7.182144165,-13.78595734,-21.20240927,-10.48405477,0,0,0,0,-1.50E-06,0,0,-81.71470709,0,0,0,0,0,0,0,0,,,4,,,,,0,,,,,,0,0,0,0, , , , 
